method,variant,display_name,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
TIDE,full,TIDE,StaticAware_SRCC,0.1414034667966475,0.0117328419540229,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,StaticAware_PCC,0.1564758735520078,0.0129306204948352,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,StaticAware_KendallTauB,0.1170656184833492,0.0095026919161635,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,TimeAugmented_Discrete_Frechet,2.0074643725038315,0.0368128248392831,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,TWED_lambda1_nu1,30.6944360373658,0.3523383771888388,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,DTW,17.109118462236804,0.0758799263715176,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,ZMAE,0.942850080900566,0.0053424535994253,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,ZRMSE,1.1156626304442356,0.0141742294930706,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,ZLinf,2.314652809990083,0.0637389192470833,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,DeltaCorr_v1,0.0026983146727261,0.0003321426741044,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,ChangeMagnitudeCorr,-0.0026024880638121,0.0015343686303356,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,LogRatioChangeCorr,0.0046115823058121,0.0002090890221156,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Directional_Accuracy,0.6744892145232878,0.0063911611112868,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Balanced_Nonflat_Directional_Accuracy,0.6724735261412937,0.0060246403124828,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,TrainFold_Majority_Direction_Accuracy,0.781085529737782,0.0,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,TrainFold_Majority_Balanced_Direction_Accuracy,0.7685858449340003,1.3597399555105182e-16,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Flat_Transition_Predicted_Change,0.3308847139159468,0.0887400025699318,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Chebyshev,0.1441202394276341,9.058706276422718e-05,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Clark,0.9909279214495212,0.0013665792393383,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Canberra,2.590424709131082,0.0050294546828367,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,KL,0.2274988783965439,8.774270625107793e-05,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Cosine,0.8381905462434012,0.0001562460465562,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TIDE,Intersection,0.7317329326140659,0.0005913388815389,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,StaticAware_SRCC,0.0063525808666536,0.0021017130258328,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,StaticAware_PCC,0.0085767145375857,0.0021709301679818,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,StaticAware_KendallTauB,0.0049666132270376,0.0017727410768459,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,TimeAugmented_Discrete_Frechet,2.513081514944436,0.0207735400960192,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,TWED_lambda1_nu1,33.77246703848875,0.0853723829622227,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,DTW,17.7100070628283,0.0276167742990173,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,ZMAE,1.0106330326009176,0.0019913434625945,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,ZRMSE,1.2758484550873743,0.0015669299860262,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,ZLinf,2.9874705315263337,0.0238148558881406,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,DeltaCorr_v1,0.0012592155317905,0.0021023051193458,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,ChangeMagnitudeCorr,-0.0019468307086089,0.0018924770673488,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,LogRatioChangeCorr,0.0021924349929996,0.0019810812213429,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Directional_Accuracy,0.6456222222538982,0.0019104637841314,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Balanced_Nonflat_Directional_Accuracy,0.6460515351929309,0.0015819999599041,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,TrainFold_Majority_Direction_Accuracy,0.781085529737782,0.0,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,TrainFold_Majority_Balanced_Direction_Accuracy,0.7685858449340003,1.3597399555105182e-16,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Flat_Transition_Predicted_Change,0.9660558177326286,0.014403525992389,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Chebyshev,0.1442605708015588,0.0002447488767387,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Clark,0.9924635841919188,0.0013512192453196,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Canberra,2.5949055265559355,0.0044971890399617,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,KL,0.2283311353412557,0.000248190862263,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Cosine,0.8375022772561816,0.0001433531379704,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_context,No context,Intersection,0.7310313902700653,0.000422631744959,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,StaticAware_SRCC,0.1287844272884147,0.0108047323853841,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,StaticAware_PCC,0.1478788725808834,0.0098908495819884,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,StaticAware_KendallTauB,0.1063059789949725,0.0087767054510549,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,TimeAugmented_Discrete_Frechet,2.0622688115264043,0.056033014014252,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,TWED_lambda1_nu1,30.56256542374059,0.1033069843395732,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,DTW,17.29456115407545,0.2752461998512608,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,ZMAE,0.948955135894555,0.0116646683010162,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,ZRMSE,1.123061419013942,0.0064360409261273,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,ZLinf,2.3353756530050025,0.0472593400355067,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,DeltaCorr_v1,0.0021789535629534,0.0011942676558297,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,ChangeMagnitudeCorr,0.0006114978215723,0.0005014105476309,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,LogRatioChangeCorr,0.0046779035142361,0.0011218931614485,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Directional_Accuracy,0.6740758220928004,0.0018052868674605,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Balanced_Nonflat_Directional_Accuracy,0.6721059447047616,0.0023027955740562,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,TrainFold_Majority_Direction_Accuracy,0.781085529737782,0.0,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,TrainFold_Majority_Balanced_Direction_Accuracy,0.7685858449340003,1.3597399555105182e-16,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Flat_Transition_Predicted_Change,0.2704631825466284,0.0372221743587483,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Chebyshev,0.1434475125473829,8.953854630719792e-05,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Clark,1.0082440180243426,0.001409831181,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Canberra,2.6565690056513165,0.0025398795980799,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,KL,0.2329531122004681,0.0008306810330398,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Cosine,0.8335216795810675,0.0004286090218772,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_distribution_decoder,No distribution decoder,Intersection,0.7238609950373934,0.0002266385058737,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_partial_emotion_learning,No partial emotion learning,StaticAware_SRCC,-7.444128302735297e-05,0.0033689320915573,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_partial_emotion_learning,No partial emotion learning,StaticAware_PCC,-0.0004650605279703,0.0037726018940469,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_partial_emotion_learning,No partial emotion learning,StaticAware_KendallTauB,-0.0002305067361446,0.0028213612591699,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_partial_emotion_learning,No partial emotion learning,TimeAugmented_Discrete_Frechet,2.5265152588192854,0.0048016225061305,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_partial_emotion_learning,No partial emotion learning,TWED_lambda1_nu1,33.568383665759484,0.1947384862607798,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,no_partial_emotion_learning,No partial emotion learning,DTW,17.76840319136895,0.0584352952904503,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
