method,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
TIDE,Chebyshev,0.1441202394276341,9.058706276422718e-05,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,Clark,0.9909279214495212,0.0013665792393383,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,Canberra,2.590424709131082,0.0050294546828367,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,KL,0.2274988783965439,8.774270625107793e-05,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,Cosine,0.8381905462434012,0.0001562460465562,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,Intersection,0.7317329326140659,0.0005913388815389,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
EMOD scratch,Chebyshev,0.1434259222777544,0.0001682723874088,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,Clark,1.0000584121262177,0.0011967017714532,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,Canberra,2.6244322854448434,0.0062475619718163,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,KL,0.2300258866868433,0.0007972047553279,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,Cosine,0.8359735777196549,0.0005581718840059,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,Intersection,0.7276207004427736,0.0007193632445612,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,Chebyshev,0.143643437127322,0.000104529634627,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,Clark,1.0012149393469938,0.0013871577290778,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,Canberra,2.6278185213834617,0.0050493315102893,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,KL,0.2303626103590361,0.0004208687415312,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,Cosine,0.8356254709212042,0.0002811267549226,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
