method,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
TIDE,StaticAware_SRCC,0.1414034667966475,0.0117328419540229,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,StaticAware_PCC,0.1564758735520078,0.0129306204948352,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,StaticAware_KendallTauB,0.1170656184833492,0.0095026919161635,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,TimeAugmented_Discrete_Frechet,2.0074643725038315,0.0368128248392831,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,TWED_lambda1_nu1,30.6944360373658,0.3523383771888388,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,DTW,17.109118462236804,0.0758799263715176,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,ZMAE,0.942850080900566,0.0053424535994253,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,ZRMSE,1.1156626304442356,0.0141742294930706,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,ZLinf,2.314652809990083,0.0637389192470833,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,DeltaCorr_v1,0.0026983146727261,0.0003321426741044,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
