method,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
TIDE,MinMaxNormalized_CCC,0.1338065578451772,0.011161809049338,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,LagSRCC,0.1405574862070664,0.0122236607957743,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,LagPCC,0.1550604922799673,0.0134733037001389,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,BoundedLag_NCC,0.2439350639485139,0.0097782927463059,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,Unbiased_Distance_Correlation,0.3507771450086506,0.0200894766950206,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,FisherZ_PCC,0.3411868010446571,0.0223439583278937,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
EMOD scratch,MinMaxNormalized_CCC,0.0030027352907607,0.0019546832829694,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,LagSRCC,0.0009683484597056,0.0023041804340055,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,LagPCC,0.0012297766023815,0.0020649059778207,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,BoundedLag_NCC,0.1269443106436688,0.0027375898977101,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,Unbiased_Distance_Correlation,0.0895532499734266,0.004221460603444,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,FisherZ_PCC,0.0059460247060319,0.0046441977953281,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,MinMaxNormalized_CCC,0.0023007301378019,0.0001769950517234,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,LagSRCC,0.0005002936940123,0.0004821857311035,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,LagPCC,0.0006001396889337,0.0007112179054995,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD pretrained finetune,BoundedLag_NCC,0.1248655226670405,0.000551515120471,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,9455b7b67cdf3829316a276deae37f6832efd85f
