comparison,reference,comparator,metric,positive_means,cluster,paired_benefit,ci_low,ci_high,positive_benefit_probability,n_clusters,n_windows,bootstrap_samples,evaluation_split,source_commit,comparator_source_commit
TIDE vs EMOD scratch,TIDE,EMOD scratch,StaticAware_SRCC,TIDE_better,dyad_group,0.1372213413564479,0.1260657842034758,0.1482240209899864,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,StaticAware_PCC,TIDE_better,dyad_group,0.1527375639423026,0.1409878072763395,0.1645678335941216,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,StaticAware_KendallTauB,TIDE_better,dyad_group,0.1137099166390269,0.1040346716190887,0.1227250132250412,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,TimeAugmented_Discrete_Frechet,TIDE_better,dyad_group,0.398412289237942,0.3579901705047321,0.4379222359311891,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,TWED_lambda1_nu1,TIDE_better,dyad_group,3.950463732942621,3.668789204272759,4.221255489476235,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,DTW,TIDE_better,dyad_group,0.8964987439216823,0.6793717173078236,1.10524279774255,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,ZMAE,TIDE_better,dyad_group,0.0865143922049307,0.0783913456931565,0.0944101304809196,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,ZRMSE,TIDE_better,dyad_group,0.1653885256590208,0.1553949229488576,0.1756513428132291,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,ZLinf,TIDE_better,dyad_group,0.56755504766378,0.5409187864798679,0.595054938170298,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD scratch,TIDE,EMOD scratch,DeltaCorr_v1,TIDE_better,dyad_group,-0.0016162618955119,-0.0054451103938846,0.0023638686391442,0.217,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
