method,variant,metric,mean,standard_deviation,fold,seed,n_subject_trials,evaluation_split,aggregation_definition,source_commit
TIDE,full,StaticAware_SRCC,0.1279005339494633,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1377140127828465,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.935551577317236,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9734533825460028,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2343438677792585,,0,17,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.097013834475577,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1195219974197093,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,2.113769178973503,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.955872948554642,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2194368532609724,,1,17,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1631397651101552,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.176423261333955,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,2.0825315744304507,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9436417596791852,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2199591516615985,,2,17,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1461978703923062,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1625557077550987,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.84484152411473,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9382946870574296,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,KL,0.2121247687503839,,3,17,186,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_SRCC,0.1792362317606392,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,StaticAware_PCC,0.1976649386203459,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,TimeAugmented_Discrete_Frechet,1.883032176550582,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
TIDE,full,ZMAE,0.9113211034054473,,4,17,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976
